Model,Paper R²,Our R²,Δ R²,Paper MAE,Our MAE,Δ MAE
Random Forest,0.67236,0.5027861663512934,-0.1695738336487066,0.28439,1.4430311784728158,1.158641178472816
XGBoost,0.70841,0.5064188351556038,-0.20199116484439616,0.28065,1.4000112271138732,1.119361227113873
