Model,Accuracy,Precision,Recall,F1,AUROC,PR-AUC
Random Forest,0.7983333333333333,0.8118466898954704,0.7766666666666666,0.7938671209540034,0.8789333333333333,0.8782303434276975
XGBoost,0.7983333333333333,0.8075601374570447,0.7833333333333333,0.7952622673434856,0.8809666666666667,0.8838214959170347
